setting,n,m,Cox_negll,AM_negll,LT_negll,Flex_negll,Cox_npar,AM_npar,LT_npar,Flex_npar
1,2000,2000,-0.6892159976044923,-0.5677257929944799,-0.6080096719354465,-0.692765443441429,14,10,15,22
1,2000,2000,-0.7255091133729665,-0.5994239115274709,-0.6867477088524688,-0.7316771314770404,14,10,15,22
1,2000,2000,-0.7438636753868068,-0.6552424843334392,-0.6750310987573921,-0.7495961469547319,14,10,15,22
1,2000,2000,-0.9741001549576362,-0.8209208258841749,-0.8788844356719401,-0.9789019136773377,14,10,15,22
1,2000,2000,-0.8025552430072812,-0.7120232890262977,-0.7433325228437629,-0.8046808978852504,14,10,15,22
1,2000,2000,-0.6413702560708239,-0.5504180631044073,-0.572109961737925,-0.6466122635848024,14,10,15,22
1,2000,2000,-0.6057958334542323,-0.5062847693897875,-0.5446190811452698,-0.6085349841903712,14,10,15,22
1,2000,2000,-0.7271483087813595,-0.6422500483431286,-0.6559693032691071,-0.7327470869019543,14,10,15,22
1,2000,2000,-0.6016205493817074,-0.49123566254774914,-0.5457665274203991,-0.6037433467623827,14,10,15,22
1,2000,2000,-0.8386155731078552,-0.7533322638099916,-0.7530795704882502,-0.8412336634170451,14,10,15,22
1,2000,2000,-0.7693041304815852,-0.6665158959812552,-0.6975870655055032,-0.7736739662450505,14,10,15,22
1,2000,2000,-0.8337379639859764,-0.7194263298538885,-0.7668468399579947,-0.8391542252107529,14,10,15,22
1,2000,2000,-0.6711604990279321,-0.5694359815655026,-0.607753308651615,-0.672933506567997,14,10,15,22
1,2000,2000,-0.999993432212475,-0.879056170071985,-0.9277033979548814,-1.0027147496777458,14,10,15,22
1,2000,2000,-0.9393240566575514,-0.8408964706893521,-0.8535129905145578,-0.9443833278826587,14,10,15,22
1,2000,2000,-0.7483780683137997,-0.6391323380247522,-0.6967728685899156,-0.7502184514935588,14,10,15,22
1,2000,2000,-0.8482923368210518,-0.7421585730979087,-0.7997864401414285,-0.8559326938716454,14,10,15,22
1,2000,2000,-1.035773690071257,-0.9013488165830522,-0.9445749121564855,-1.0402971815129007,14,10,15,22
1,2000,2000,-0.5959176801544822,-0.5173155543436887,-0.5327516073414772,-0.5979850043983325,14,10,15,22
1,2000,2000,-0.9375368726752344,-0.8358539796487648,-0.8564386403977651,-0.9427112818344594,14,10,15,22
1,2000,2000,-0.8775687806354708,-0.7633760119091244,-0.8117003882056634,-0.8802491067786109,14,10,15,22
1,2000,2000,-0.793089805901439,-0.6747109190685101,-0.6705655682150486,-0.8031451272717837,14,10,15,22
1,2000,2000,-1.174516716971251,-1.0601328135097752,-1.0788455245883815,-1.1813432606718535,14,10,15,22
1,2000,2000,-0.9376293582612197,-0.8122923142543391,-0.8116957102570441,-0.9411219679575888,14,10,15,22
1,2000,2000,-0.7726946866476915,-0.6293146112546337,-0.6559854522369114,-0.7781801109337466,14,10,15,22
1,2000,2000,-1.145905795718036,-1.0103452434491382,-1.038929154761462,-1.148780099392091,14,10,15,22
1,2000,2000,-0.8146458126560984,-0.7011128265680541,-0.754252134525525,-0.8182832957141427,14,10,15,22
1,2000,2000,-0.7307646445506898,-0.6445122538656451,-0.6632572594818426,-0.7349762634743279,14,10,15,22
1,2000,2000,-0.9037573589453641,-0.8011288193976861,-0.8327310888279376,-0.9075888772361386,14,10,15,22
1,2000,2000,-0.9392440269990703,-0.8263736012648415,-0.8559391625901708,-0.9435017389489212,14,10,15,22
1,2000,2000,-0.9331885390968232,-0.8304759244189464,-0.843263971961897,-0.9356523320751384,14,10,15,22
1,2000,2000,-0.7267709298986088,-0.6131381261044275,-0.6788924140092208,-0.7291671098765109,14,10,15,22
1,2000,2000,-0.8696307727000003,-0.7741367601955785,-0.7907270160603584,-0.877258279577909,14,10,15,22
1,2000,2000,-0.9328967208382296,-0.8134832692898922,-0.8608096745565794,-0.9377478341021896,14,10,15,22
1,2000,2000,-0.9523512648739543,-0.8455397168562858,-0.8501823724319142,-0.9561938811776126,14,10,15,22
1,2000,2000,-0.7303220719505411,-0.623729735906094,-0.6451550496769851,-0.7330871271857582,14,10,15,22
1,2000,2000,-1.165459702318904,-1.0044638784767008,-1.0322100418906413,-1.1715780406397498,14,10,15,22
1,2000,2000,-0.744911031398929,-0.6220635889045147,-0.6855094925901908,-0.7519421048680037,14,10,15,22
1,2000,2000,-0.8092666218549943,-0.6975580959104382,-0.719739106758073,-0.8148132147186461,14,10,15,22
1,2000,2000,-0.896982772314253,-0.8210435110963444,-0.8206701010526167,-0.9022159533244339,14,10,15,22
1,2000,2000,-1.2288708196673925,-1.0920471441917021,-1.125773469903353,-1.234063644567118,14,10,15,22
1,2000,2000,-0.7804527679615094,-0.667598350126395,-0.7256361982547551,-0.7847845710001621,14,10,15,22
1,2000,2000,-0.8774055649528687,-0.7532763608329788,-0.7988405544027483,-0.882809593130798,14,10,15,22
1,2000,2000,-0.8470897924690949,-0.7385549609219851,-0.7840764439620034,-0.8492812480458588,14,10,15,22
1,2000,2000,-0.6730380634911544,-0.5789625884696498,-0.5862810996943062,-0.6812745383044521,14,10,15,22
1,2000,2000,-0.8639016648588494,-0.7570788823779876,-0.7783860270526503,-0.8700615010209504,14,10,15,22
1,2000,2000,-0.778486006953331,-0.6844285586103052,-0.7211447003691092,-0.7811918749912011,14,10,15,22
1,2000,2000,-1.1178612158455203,-0.9938528967334882,-0.987742045235369,-1.1266816967214255,14,10,15,22
1,2000,2000,-0.7341653521075386,-0.619664422869966,-0.6824815055485469,-0.7399020095529454,14,10,15,22
1,2000,2000,-1.046919798665978,-0.9337547096088074,-0.9555736771371975,-1.0481847927434802,14,10,15,22
1,2000,2000,-0.7900530544129584,-0.7047661551619585,-0.71999306085421,-0.7958252192721311,14,10,15,22
1,2000,2000,-1.1510367274050217,-1.0282553772517575,-1.05000499700503,-1.1563957251756574,14,10,15,22
